1000 10800
2 15 27
10 22 31
16 21 39
5 53 22
8 12 45
8 57 57
16 3 59
10 28 59
21 35 0
22 31 5
3 49 57
7 28 42
22 51 42
14 32 34
4 36 4
7 42 36
2 36 26
21 32 32
3 11 35
20 44 53
4 18 25
10 12 50
4 27 35
17 52 22
19 4 2
0 40 2
16 41 30
18 27 12
14 52 57
23 55 11
15 1 1
14 21 17
1 29 3
7 44 2
16 7 7
5 46 4
4 22 28
9 32 38
11 26 58
17 30 53
11 12 21
13 14 22
13 29 18
9 17 54
22 20 16
0 29 25
20 26 58
13 51 35
15 43 21
11 31 8
13 21 39
20 3 28
22 26 31
10 2 32
18 55 17
22 19 22
0 38 50
13 19 28
0 34 37
4 32 50
11 28 56
4 8 20
14 15 13
10 44 37
6 16 36
10 58 32
20 25 58
14 48 51
17 45 22
23 8 52
11 58 45
8 29 17
9 47 3
9 7 51
0 28 13
5 58 26
18 9 43
1 33 50
8 35 50
1 44 46
17 2 49
0 43 20
22 57 31
5 47 11
12 43 56
3 30 16
4 25 42
16 0 11
16 19 40
2 7 23
14 45 7
6 46 44
12 26 39
10 59 42
0 39 58
14 2 58
20 31 9
18 4 29
16 24 19
15 1 35
1 17 34
11 47 14
3 43 53
4 31 25
22 22 36
5 38 3
23 51 58
2 52 49
21 47 15
6 21 47
16 44 1
9 42 18
4 55 42
21 55 10
9 54 44
3 17 2
18 24 45
15 44 20
16 16 7
15 43 58
2 22 44
2 38 47
14 14 38
8 47 53
5 19 13
19 7 52
7 42 20
10 39 20
4 23 31
0 16 34
6 47 50
21 30 59
20 2 43
1 19 9
14 35 43
2 52 11
10 18 37
11 30 44
5 18 0
9 6 58
16 29 38
21 25 15
20 38 32
12 42 44
8 56 43
15 19 2
0 48 14
6 20 17
12 50 20
19 57 14
18 43 42
1 8 42
12 51 13
12 46 37
18 22 41
10 55 4
10 12 26
12 24 20
20 36 31
0 53 27
8 45 47
12 27 59
6 12 56
15 47 53
19 14 17
15 40 32
20 23 57
17 13 8
0 23 34
8 10 9
18 4 53
18 53 7
1 33 25
9 5 40
6 39 24
0 54 3
1 14 43
19 55 37
2 31 45
0 10 14
16 3 20
18 14 0
4 36 2
1 43 18
10 15 22
2 8 3
5 25 51
11 9 46
14 48 27
5 51 15
23 11 14
2 14 21
7 32 6
0 0 13
19 29 10
11 4 1
16 58 19
22 21 42
16 0 58
8 57 6
13 5 48
23 10 29
22 26 16
2 50 3
0 21 57
14 31 15
4 18 53
10 14 2
16 37 11
11 53 49
19 53 40
4 32 7
9 23 10
6 45 59
20 23 47
5 35 51
18 18 3
4 58 5
19 13 40
14 27 32
20 54 36
21 47 27
3 44 42
15 59 1
11 17 11
11 12 33
22 19 41
0 44 22
18 46 49
4 48 51
17 16 14
3 6 45
23 27 4
13 37 28
7 9 22
21 22 49
12 23 54
0 26 53
14 45 0
14 45 59
3 0 36
13 8 44
16 50 6
15 4 25
10 46 4
15 19 3
16 33 29
22 13 16
10 5 52
4 35 44
21 42 49
21 5 5
5 6 19
6 15 38
4 6 57
22 57 32
0 40 24
19 32 58
5 50 52
1 5 42
8 22 37
18 20 36
4 53 10
15 23 30
11 31 9
1 24 35
20 13 12
1 9 58
5 17 39
14 7 32
15 25 50
19 6 20
23 22 56
23 44 4
7 2 53
0 0 23
18 46 18
15 12 49
22 40 15
18 38 36
13 29 37
17 9 9
17 25 31
5 58 35
5 3 11
19 11 54
9 15 39
3 35 4
14 10 58
19 14 43
10 14 36
22 24 21
9 13 50
5 9 41
15 48 22
14 21 33
15 56 51
5 34 14
19 26 22
8 33 24
11 5 2
17 52 7
5 1 9
4 12 25
10 53 40
12 19 21
0 19 4
11 54 29
23 47 47
7 17 22
18 33 51
4 28 58
16 40 57
20 59 4
9 16 2
9 56 47
6 31 11
14 14 39
4 6 9
0 49 41
11 20 56
2 21 26
6 27 19
0 51 32
19 11 4
8 29 36
10 15 0
3 22 47
20 1 51
8 40 9
19 10 46
21 18 34
4 5 10
8 47 7
3 22 50
8 23 30
21 47 34
22 9 53
11 54 21
1 51 24
11 50 15
8 6 45
2 9 2
2 36 28
11 29 44
1 32 7
17 26 53
1 21 19
4 11 16
15 9 25
6 6 40
12 47 30
1 11 46
21 19 51
23 23 30
5 8 4
13 7 44
5 31 43
8 37 50
3 42 54
0 2 26
1 20 0
15 19 39
20 33 59
17 9 13
22 32 58
14 9 31
4 6 12
23 30 39
5 19 25
7 58 45
21 50 13
15 1 29
14 10 34
0 17 9
14 58 13
6 22 0
5 51 47
14 11 53
6 26 32
7 14 31
10 49 59
0 49 17
3 50 21
7 9 35
14 24 9
16 51 5
4 47 45
2 30 20
3 15 46
5 53 57
4 29 58
0 51 15
16 58 58
11 32 35
21 47 22
2 41 30
18 38 32
16 30 56
9 12 54
17 34 22
13 9 19
13 39 5
9 31 45
6 15 15
21 53 31
17 47 30
5 44 12
18 33 16
4 58 54
4 45 17
18 1 7
0 20 48
18 33 41
18 36 58
4 26 15
9 44 34
16 27 7
15 57 54
6 58 50
15 34 22
10 4 50
20 12 59
1 1 51
15 20 12
2 5 49
16 25 57
2 8 19
3 2 23
11 45 38
17 58 25
2 11 2
5 34 57
21 10 53
23 3 12
0 34 14
18 32 20
9 37 47
15 44 50
17 55 22
10 54 45
7 46 0
20 59 15
18 8 8
18 26 16
6 19 50
14 32 56
23 43 27
7 13 1
20 25 33
20 45 34
2 27 42
5 27 53
16 15 54
18 57 54
11 56 6
14 34 43
14 31 29
17 24 22
5 1 29
16 50 35
23 8 56
3 4 0
15 1 46
9 14 44
1 7 18
3 38 13
8 24 59
4 6 54
19 6 52
3 23 22
6 15 6
8 14 57
5 26 41
17 30 56
4 57 6
12 50 16
22 54 2
11 5 41
0 0 18
1 38 16
9 12 39
12 8 6
11 33 4
8 29 11
9 29 22
8 25 30
4 53 54
22 33 53
14 20 14
0 57 3
11 11 19
9 36 1
9 39 44
16 37 39
10 59 44
0 2 14
4 3 58
3 36 7
21 19 24
12 33 24
19 30 15
4 4 10
17 3 1
8 38 12
14 5 22
9 25 35
7 24 44
9 21 35
4 20 50
0 5 48
18 26 19
15 14 57
14 0 42
17 43 9
20 57 32
9 13 13
16 38 2
18 47 11
21 23 48
22 11 42
2 49 54
13 34 41
12 32 45
23 18 49
5 17 27
18 33 13
22 13 47
13 11 43
21 12 49
6 45 22
12 44 57
16 58 36
7 49 14
22 48 19
1 44 34
19 50 40
15 21 36
17 48 41
4 5 44
12 21 47
22 1 6
4 19 37
21 38 33
13 3 19
13 57 54
16 13 9
2 12 40
5 4 41
17 46 19
14 57 53
17 4 49
22 54 23
22 43 50
16 45 43
1 29 41
8 6 55
11 42 57
5 50 16
1 18 56
7 53 37
15 36 9
8 17 3
6 58 22
5 23 26
16 55 56
8 58 41
20 34 2
19 17 44
2 33 47
14 34 38
5 31 2
23 7 16
4 7 53
13 55 40
21 23 32
17 21 37
21 10 48
16 24 29
12 7 32
16 27 0
2 13 21
21 15 44
17 20 35
1 1 55
1 16 46
3 45 20
12 0 4
10 29 57
0 37 38
21 13 16
13 3 42
15 5 17
21 44 48
20 27 14
2 51 23
5 29 18
16 39 59
15 19 37
22 36 36
20 47 33
15 52 17
18 19 50
17 35 18
2 33 31
0 25 4
9 40 45
17 9 23
1 19 44
20 54 17
6 27 56
16 29 18
7 2 6
21 28 17
8 43 10
4 51 25
22 36 29
17 55 41
4 44 10
0 59 33
12 55 51
0 16 25
1 21 36
23 28 16
11 16 39
22 55 26
10 24 16
6 29 57
20 2 30
19 21 56
23 22 23
8 8 2
22 15 58
8 58 17
0 45 28
17 44 34
5 36 49
23 16 8
22 56 14
2 18 40
3 6 31
14 5 1
17 33 30
5 49 38
17 23 17
5 20 11
22 12 31
2 25 18
1 39 14
22 14 16
18 53 30
5 48 55
13 18 59
7 57 6
20 5 50
7 48 39
20 23 50
7 1 44
17 32 46
9 0 19
2 7 28
2 16 5
3 37 15
17 44 12
3 41 19
10 38 6
22 15 17
12 41 16
3 54 41
12 16 51
10 20 52
14 8 7
14 9 34
13 17 34
7 56 46
18 24 40
19 15 28
9 0 32
22 18 4
15 1 28
0 33 45
23 9 59
18 47 3
6 43 15
9 31 34
12 31 32
8 29 20
19 1 12
19 16 1
6 15 13
5 33 5
10 0 35
1 50 48
2 43 27
21 41 40
12 18 19
9 4 4
6 13 47
13 47 40
6 32 52
14 25 47
9 30 36
19 35 46
1 58 15
5 6 32
0 36 58
20 10 13
4 27 25
8 40 27
23 14 2
0 12 10
8 50 27
15 49 44
19 39 52
14 37 53
14 30 39
0 16 24
18 56 26
5 14 45
11 56 12
21 25 29
21 5 14
2 39 49
22 12 19
6 25 21
12 46 51
8 38 32
14 49 49
16 26 38
15 27 46
23 54 10
16 36 36
22 21 12
4 54 37
18 24 7
2 33 42
16 50 39
13 42 37
13 44 53
14 10 15
13 56 17
15 9 16
17 22 10
7 21 7
14 12 51
16 48 50
5 49 12
5 22 10
19 53 42
19 19 58
12 10 52
7 29 30
0 9 57
14 47 42
12 13 6
18 56 50
15 39 55
0 56 54
2 52 9
14 37 0
11 9 19
10 58 55
17 45 0
9 29 11
17 10 14
14 53 7
4 54 23
19 6 34
10 25 10
18 15 22
19 22 40
18 54 53
0 10 30
9 34 7
15 26 33
12 56 47
17 30 11
8 6 1
